EntryTime,Type,TakeProfitDate,ExitDate,return,slug
2024-08-05 00:00:00,short,2024-10-06 12:00:00,2024-08-06 00:00:00,-0.1863172129409056,AAVE
2024-08-06 00:00:00,long,2024-09-03 12:00:00,2024-09-03 12:00:00,0.2385157207023274,AAVE
2024-09-04 00:00:00,long,2024-10-19 00:00:00,2024-10-19 00:00:00,0.2107975082673228,AAVE
2024-10-18 12:00:00,long,2024-10-19 00:00:00,2024-10-19 00:00:00,-0.009811320754717,AAVE
2024-10-23 00:00:00,short,2024-10-23 12:00:00,2024-10-23 12:00:00,-0.0049937996447364,AAVE
2021-04-03 12:00:00,short,2021-04-05 12:00:00,2021-04-05 12:00:00,-0.0448514231128733,ADA
2021-04-06 00:00:00,short,2021-04-18 12:00:00,2021-04-06 12:00:00,-0.0559479269312458,ADA
2021-04-06 12:00:00,long,2021-04-18 00:00:00,2021-04-18 00:00:00,-0.0771248003194889,ADA
2021-04-18 00:00:00,short,2021-04-26 12:00:00,2021-04-18 12:00:00,-0.1035377907839055,ADA
2021-04-18 12:00:00,long,2021-04-21 00:00:00,2021-04-20 00:00:00,-0.1025849694188405,ADA
2021-04-21 00:00:00,short,2021-04-26 12:00:00,2021-04-26 12:00:00,-0.0188464334760481,ADA
2021-04-28 00:00:00,short,2021-05-05 00:00:00,2021-04-29 00:00:00,-0.078966969978535,ADA
2021-04-29 00:00:00,long,2021-05-04 00:00:00,2021-05-04 00:00:00,-0.0538486439824472,ADA
2021-05-04 12:00:00,short,2021-05-23 12:00:00,2021-05-05 00:00:00,-0.062672327984077,ADA
2021-05-05 00:00:00,long,2021-05-19 00:00:00,2021-05-19 00:00:00,0.0434493951018,ADA
2021-05-23 00:00:00,short,2021-06-02 00:00:00,2021-05-25 00:00:00,-0.2236569507682875,ADA
2021-05-26 00:00:00,long,2021-06-02 12:00:00,2021-05-29 12:00:00,-0.2412679034622759,ADA
2021-06-02 00:00:00,long,2021-07-26 12:00:00,2021-06-04 00:00:00,-0.037522810218978,ADA
2021-06-07 12:00:00,short,2021-07-04 00:00:00,2021-07-04 00:00:00,0.1061349909935367,ADA
2021-07-13 12:00:00,short,2021-07-26 00:00:00,2021-07-26 00:00:00,0.0054445018479512,ADA
2021-07-30 12:00:00,long,2021-08-01 12:00:00,2021-08-01 12:00:00,-0.0040051876716509,ADA
2021-08-01 00:00:00,long,2021-09-07 12:00:00,2021-09-07 12:00:00,0.8633374963267706,ADA
2021-09-09 00:00:00,long,2021-11-10 12:00:00,2021-09-20 00:00:00,-0.2066839258114374,ADA
2021-09-18 12:00:00,short,2021-10-05 12:00:00,2021-10-03 12:00:00,0.0281873373807457,ADA
2021-10-10 00:00:00,short,2021-10-26 00:00:00,2021-10-26 00:00:00,0.0308759241033622,ADA
2021-11-12 00:00:00,short,2021-12-23 12:00:00,2021-12-23 12:00:00,0.4291799787007453,ADA
2021-12-24 12:00:00,short,2022-01-16 00:00:00,2022-01-16 00:00:00,0.0103429504627108,ADA
2022-01-16 00:00:00,long,2022-01-19 00:00:00,2022-01-19 00:00:00,-0.0014388489208633,ADA
2022-01-19 12:00:00,short,2022-02-07 00:00:00,2022-02-07 00:00:00,0.1249474127050904,ADA
2022-02-10 12:00:00,short,2022-03-19 12:00:00,2022-03-19 12:00:00,0.2961397576782192,ADA
2022-03-22 00:00:00,long,2022-04-08 12:00:00,2022-04-08 12:00:00,0.0740062761506277,ADA
2022-04-09 00:00:00,long,2022-07-20 12:00:00,2022-04-11 12:00:00,-0.0813969171483622,ADA
2022-04-11 00:00:00,short,2022-05-31 00:00:00,2022-05-31 00:00:00,0.6218724948314418,ADA
2022-06-01 12:00:00,short,2022-07-18 00:00:00,2022-07-08 00:00:00,0.1387283236994219,ADA
2022-07-21 12:00:00,long,2022-08-19 00:00:00,2022-07-26 12:00:00,-0.0777423392749849,ADA
2022-08-19 00:00:00,short,2022-09-04 00:00:00,2022-09-04 00:00:00,-0.0736443758402629,ADA
2022-09-05 00:00:00,short,2022-10-25 12:00:00,2022-10-25 12:00:00,0.2015058939702525,ADA
2022-10-27 12:00:00,short,2022-12-05 00:00:00,2022-10-29 12:00:00,-0.0929948799981316,ADA
2022-10-29 12:00:00,long,2023-02-09 12:00:00,2022-11-08 12:00:00,-0.1172422619047619,ADA
2022-12-05 12:00:00,short,2023-02-26 12:00:00,2023-01-21 12:00:00,-0.1568067455460358,ADA
2023-01-08 12:00:00,long,2023-02-09 12:00:00,2023-02-09 12:00:00,0.2210827168796232,ADA
2023-02-14 12:00:00,long,2023-03-22 12:00:00,2023-03-03 00:00:00,-0.1545422808378588,ADA
2023-02-24 12:00:00,short,2023-03-18 00:00:00,2023-03-18 00:00:00,0.033552306279579,ADA
2023-03-18 12:00:00,short,2023-05-27 00:00:00,2023-03-21 12:00:00,-0.1184335262005163,ADA
2023-03-21 12:00:00,long,2023-04-21 12:00:00,2023-04-21 12:00:00,0.0291531385281387,ADA
2023-04-26 00:00:00,long,2023-10-02 12:00:00,2023-05-08 12:00:00,-0.1074037987173163,ADA
2023-04-30 00:00:00,short,2023-05-27 00:00:00,2023-05-27 00:00:00,0.087736041993319,ADA
2023-06-01 00:00:00,short,2023-06-23 00:00:00,2023-06-23 00:00:00,0.2285327924273159,ADA
2023-06-24 12:00:00,short,2023-07-26 12:00:00,2023-07-13 12:00:00,-0.0738027411211404,ADA
2023-07-13 12:00:00,long,2023-10-02 12:00:00,2023-08-16 12:00:00,-0.2407513316512475,ADA
2023-09-27 12:00:00,short,2023-10-20 00:00:00,2023-10-01 12:00:00,-0.0811540794918174,ADA
2023-10-01 00:00:00,long,2023-10-22 00:00:00,2023-10-19 00:00:00,-0.0777231121281464,ADA
2023-10-21 12:00:00,long,2023-12-26 12:00:00,2023-12-26 12:00:00,1.1672467130703792,ADA
2024-01-06 00:00:00,short,2024-02-03 00:00:00,2024-02-03 00:00:00,-0.0081447963800905,ADA
2024-02-09 00:00:00,long,2024-03-05 12:00:00,2024-03-05 12:00:00,0.0946356275303643,ADA
2024-03-18 12:00:00,short,2024-05-16 00:00:00,2024-05-16 00:00:00,0.4487411551752509,ADA
2024-05-20 12:00:00,long,2024-06-07 12:00:00,2024-06-07 12:00:00,-0.1232320717131475,ADA
2024-06-07 00:00:00,long,2024-07-29 12:00:00,2024-06-07 12:00:00,-0.0688882000413307,ADA
2024-06-07 12:00:00,short,2024-07-01 12:00:00,2024-07-01 12:00:00,0.1029402737707938,ADA
2024-07-04 00:00:00,short,2024-08-20 00:00:00,2024-07-13 12:00:00,-0.1066815591259271,ADA
2024-07-13 12:00:00,long,2024-07-29 12:00:00,2024-07-29 12:00:00,-0.0833333333333332,ADA
2024-08-02 00:00:00,short,2024-08-20 00:00:00,2024-08-20 00:00:00,0.1361016698684793,ADA
2024-08-21 12:00:00,long,2024-09-14 00:00:00,2024-09-02 00:00:00,-0.1187435619409053,ADA
2024-09-01 12:00:00,short,2024-09-11 12:00:00,2024-09-09 00:00:00,-0.021861152141802,ADA
2024-09-11 00:00:00,short,2024-09-17 12:00:00,2024-09-17 12:00:00,-0.0104335047759001,ADA
2024-09-20 00:00:00,long,2024-10-06 00:00:00,2024-10-06 00:00:00,-0.0214586255259466,ADA
2024-10-06 12:00:00,long,,2024-10-25 12:00:00,-0.0896923076923075,ADA
2024-10-21 00:00:00,short,2024-10-22 00:00:00,2024-10-21 12:00:00,-0.0061088612808017,ADA
2023-01-09 12:00:00,long,2023-02-08 12:00:00,2023-02-08 12:00:00,1.845781930507856,APT
2023-02-23 00:00:00,short,2023-03-14 12:00:00,2023-03-14 12:00:00,0.0384519950994837,APT
2023-03-15 12:00:00,short,2023-04-02 00:00:00,2023-04-02 00:00:00,0.006135372704372,APT
2023-04-02 12:00:00,short,2023-04-11 12:00:00,2023-04-11 12:00:00,0.0189744137666629,APT
2023-04-13 12:00:00,long,2023-06-24 12:00:00,2023-04-19 00:00:00,-0.0823227972446355,APT
2023-04-19 00:00:00,short,2023-05-28 00:00:00,2023-05-28 00:00:00,0.3444830356162485,APT
2023-06-05 12:00:00,short,2023-07-07 00:00:00,2023-07-01 00:00:00,0.187002574906367,APT
2023-07-06 12:00:00,short,2023-08-09 12:00:00,2023-07-13 12:00:00,-0.0690542069669108,APT
2023-07-17 00:00:00,long,2023-09-25 12:00:00,2023-08-04 12:00:00,-0.1243418545048301,APT
2023-07-24 12:00:00,short,2023-08-09 12:00:00,2023-08-09 12:00:00,-0.0581322364818844,APT
2023-08-10 00:00:00,short,2023-09-24 12:00:00,2023-09-24 12:00:00,0.3708683708543792,APT
2023-09-25 00:00:00,long,2023-11-18 00:00:00,2023-10-04 00:00:00,-0.0829166592932099,APT
2023-10-21 12:00:00,long,2023-11-18 00:00:00,2023-11-18 00:00:00,0.2142393479868012,APT
2023-11-22 00:00:00,long,2023-12-05 00:00:00,2023-12-05 00:00:00,0.0329655731744833,APT
2023-12-04 12:00:00,long,2023-12-11 00:00:00,2023-12-11 00:00:00,-0.0493462538285331,APT
2024-01-07 12:00:00,short,2024-01-27 12:00:00,2024-01-11 00:00:00,-0.1137071218588912,APT
